Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.113",,,"PATRIC.562.123410.562.123410.con.0001.CDS.129099.129455.rev","PATRIC","CDS",129099,129455,357,"-",,"PLF_561_00002764","PGF_00577145",,118,,"FIG138056: a glutathione-dependent thiol reductase",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.115",,,"PATRIC.562.123410.562.123410.con.0001.CDS.129994.133107.rev","PATRIC","CDS",129994,133107,3114,"-",,"PLF_561_00000324","PGF_03376567",,1037,,"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.116",,,"PATRIC.562.123410.562.123410.con.0001.CDS.133271.134971.rev","PATRIC","CDS",133271,134971,1701,"-",,"PLF_561_00001867","PGF_00025720",,566,,"Nitrate/nitrite sensor protein NarQ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.17",,,"PATRIC.562.123410.562.123410.con.0001.CDS.13442.14323.fwd","PATRIC","CDS",13442,14323,882,"+",,"PLF_561_00000570","PGF_00017859",,293,,"Transcriptional regulator YfiE, LysR family",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.117",,,"PATRIC.562.123410.562.123410.con.0001.CDS.135177.137156.fwd","PATRIC","CDS",135177,137156,1980,"+",,"PLF_561_00002510","PGF_00037873",,659,,"Protein AegA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.118",,,"PATRIC.562.123410.562.123410.con.0001.CDS.137224.137799.fwd","PATRIC","CDS",137224,137799,576,"+",,"PLF_561_00002638","PGF_00006737",,191,,"GDP-mannose pyrophosphatase NudK",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.119",,,"PATRIC.562.123410.562.123410.con.0001.CDS.137925.138968.fwd","PATRIC","CDS",137925,138968,1044,"+",,"PLF_561_00002759","PGF_00422436",,347,,"DUF1176 domain-containing protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.120",,,"PATRIC.562.123410.562.123410.con.0001.CDS.139045.141048.rev","PATRIC","CDS",139045,141048,2004,"-",,"PLF_561_00001787","PGF_01136362",,667,,"Transketolase (EC 2.2.1.1)","GO:0004802|transketolase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.121",,,"PATRIC.562.123410.562.123410.con.0001.CDS.141068.142018.rev","PATRIC","CDS",141068,142018,951,"-",,"PLF_561_00001307","PGF_00057399",,316,,"Transaldolase (EC 2.2.1.2)","GO:0004801|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.122",,,"PATRIC.562.123410.562.123410.con.0001.CDS.142307.144586.fwd","PATRIC","CDS",142307,144586,2280,"+",,"PLF_561_00001445","PGF_06447349",,759,,"NADP-dependent malic enzyme (EC 1.1.1.40)","GO:0004473|malate dehydrogenase (decarboxylating) (NADP+) activity;GO:0004473|oxaloacetate decarboxylase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.18",,,"PATRIC.562.123410.562.123410.con.0001.CDS.14356.15690.rev","PATRIC","CDS",14356,15690,1335,"-",,"PLF_561_00001400","PGF_07868088",,444,,"ATP-dependent RNA helicase SrmB",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.123",,,"PATRIC.562.123410.562.123410.con.0001.CDS.144879.145214.fwd","PATRIC","CDS",144879,145214,336,"+",,"PLF_561_00172981","PGF_00424891",,111,,"Ethanolamine utilization polyhedral-body-like protein EutS",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.124",,,"PATRIC.562.123410.562.123410.con.0001.CDS.145227.145706.fwd","PATRIC","CDS",145227,145706,480,"+",,"PLF_561_00003014","PGF_00424897",,159,,"Ethanolamine utilization protein EutP",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.125",,,"PATRIC.562.123410.562.123410.con.0001.CDS.145681.146382.fwd","PATRIC","CDS",145681,146382,702,"+",,"PLF_561_00002761","PGF_00424898",,233,,"Ethanolamine utilization protein EutQ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.126",,,"PATRIC.562.123410.562.123410.con.0001.CDS.146379.147182.fwd","PATRIC","CDS",146379,147182,804,"+",,"PLF_561_00002977","PGF_02035040",,267,,"ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17) @ ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization","GO:0008817|cob(I)yrinic acid a,c-diamide adenosyltransferase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.127",,,"PATRIC.562.123410.562.123410.con.0001.CDS.147179.148195.fwd","PATRIC","CDS",147179,148195,1017,"+",,"PLF_561_00000451","PGF_00033200",,338,,"Phosphate acetyltransferase (EC 2.3.1.8), ethanolamine utilization-specific","GO:0008959|phosphate acetyltransferase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.128",,,"PATRIC.562.123410.562.123410.con.0001.CDS.148192.148527.fwd","PATRIC","CDS",148192,148527,336,"+",,"PLF_561_00003127","PGF_03188511",,111,,"Ethanolamine utilization polyhedral-body-like protein EutM",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.129",,,"PATRIC.562.123410.562.123410.con.0001.CDS.148634.148921.fwd","PATRIC","CDS",148634,148921,288,"+",,"PLF_561_00002699","PGF_00424888",,95,,"Ethanolamine utilization polyhedral-body-like protein EutN",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.130",,,"PATRIC.562.123410.562.123410.con.0001.CDS.148933.150336.fwd","PATRIC","CDS",148933,150336,1404,"+",,"PLF_561_00003345","PGF_00024367",,467,,"Acetaldehyde dehydrogenase (EC 1.2.1.10) @ Acetaldehyde dehydrogenase (EC 1.2.1.10), ethanolamine utilization cluster","GO:0008774|acetaldehyde dehydrogenase (acetylating) activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.131",,,"PATRIC.562.123410.562.123410.con.0001.CDS.150347.151183.fwd","PATRIC","CDS",150347,151183,837,"+",,"PLF_561_00003013","PGF_00424895",,278,,"Ethanolamine utilization protein EutJ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.132",,,"PATRIC.562.123410.562.123410.con.0001.CDS.151173.152360.fwd","PATRIC","CDS",151173,152360,1188,"+",,"PLF_561_00000961","PGF_00424894",,395,,"Ethanolamine utilization protein EutG",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.133",,,"PATRIC.562.123410.562.123410.con.0001.CDS.152577.153803.fwd","PATRIC","CDS",152577,153803,1227,"+",,"PLF_561_00001262","PGF_00424876",,408,,"Ethanolamine permease",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.134",,,"PATRIC.562.123410.562.123410.con.0001.CDS.153800.155203.fwd","PATRIC","CDS",153800,155203,1404,"+",,"PLF_561_00000468","PGF_00424892",,467,,"Ethanolamine utilization protein EutA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.135",,,"PATRIC.562.123410.562.123410.con.0001.CDS.155215.156576.fwd","PATRIC","CDS",155215,156576,1362,"+",,"PLF_561_00001182","PGF_00424868",,453,,"Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)","GO:0008851|ethanolamine ammonia-lyase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.136",,,"PATRIC.562.123410.562.123410.con.0001.CDS.156597.157484.fwd","PATRIC","CDS",156597,157484,888,"+",,"PLF_561_00002980","PGF_00424869",,295,,"Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)","GO:0008851|ethanolamine ammonia-lyase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.137",,,"PATRIC.562.123410.562.123410.con.0001.CDS.157494.158153.fwd","PATRIC","CDS",157494,158153,660,"+",,"PLF_561_00003071","PGF_00424881",,219,,"Ethanolamine utilization polyhedral-body-like protein EutL",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.19",,,"PATRIC.562.123410.562.123410.con.0001.CDS.15786.16559.fwd","PATRIC","CDS",15786,16559,774,"+",,"PLF_561_00001100","PGF_05969969",,257,,"tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.138",,,"PATRIC.562.123410.562.123410.con.0001.CDS.158166.158666.fwd","PATRIC","CDS",158166,158666,501,"+",,"PLF_561_00003085","PGF_00424880",,166,,"Ethanolamine utilization polyhedral-body-like protein EutK",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.139",,,"PATRIC.562.123410.562.123410.con.0001.CDS.158712.159764.fwd","PATRIC","CDS",158712,159764,1053,"+",,"PLF_561_00001721","PGF_10409999",,350,,"Ethanolamine operon regulatory protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.140",,,"PATRIC.562.123410.562.123410.con.0001.CDS.159770.160672.rev","PATRIC","CDS",159770,160672,903,"-",,"PLF_561_00003244","PGF_00419627",,300,,"Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)","GO:0004109|coproporphyrinogen oxidase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.141",,,"PATRIC.562.123410.562.123410.con.0001.CDS.160673.161542.rev","PATRIC","CDS",160673,161542,870,"-",,"PLF_561_00002771","PGF_01466819",,289,,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)","GO:0008745|N-acetylmuramoyl-L-alanine amidase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.142",,,"PATRIC.562.123410.562.123410.con.0001.CDS.161756.162181.fwd","PATRIC","CDS",161756,162181,426,"+",,"PLF_561_00002058","PGF_00027841",,141,,"Acetyltransferase YpeA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.143",,,"PATRIC.562.123410.562.123410.con.0001.CDS.162168.162617.fwd","PATRIC","CDS",162168,162617,450,"+",,"PLF_561_00002573","PGF_00014146",,149,,"Inner membrane protein YfeZ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.144",,,"PATRIC.562.123410.562.123410.con.0001.CDS.162678.163253.fwd","PATRIC","CDS",162678,163253,576,"+",,"PLF_561_00002335","PGF_00036155",,191,,"Predicted outer membrane lipoprotein YfeY",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.145",,,"PATRIC.562.123410.562.123410.con.0001.CDS.163349.164248.fwd","PATRIC","CDS",163349,164248,900,"+",,"PLF_561_00001759","PGF_05986277",,299,,"Predicted dye-decolorizing peroxidase (DyP), YfeX-like subgroup",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.146",,,"PATRIC.562.123410.562.123410.con.0001.CDS.164263.164406.fwd","PATRIC","CDS",164263,164406,144,"+",,"PLF_561_00005601","PGF_00280151",,47,,"FIG00640842: hypothetical protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.147",,,"PATRIC.562.123410.562.123410.con.0001.CDS.164426.165850.rev","PATRIC","CDS",164426,165850,1425,"-",,"PLF_561_00000753","PGF_02648683",,474,,"PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.192) / PTS system, N-acetylmuramic acid-specific IIC component",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.20",,,"PATRIC.562.123410.562.123410.con.0001.CDS.16544.18166.rev","PATRIC","CDS",16544,18166,1623,"-",,"PLF_561_00000750","PGF_07459509",,540,,"L-aspartate oxidase (EC 1.4.3.16)","GO:0008734|L-aspartate oxidase activity;GO:0008734|L-aspartate:fumarate oxidoreductase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.148",,,"PATRIC.562.123410.562.123410.con.0001.CDS.165854.166750.rev","PATRIC","CDS",165854,166750,897,"-",,"PLF_561_00002498","PGF_00023835",,298,,"N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.149",,,"PATRIC.562.123410.562.123410.con.0001.CDS.167030.167821.fwd","PATRIC","CDS",167030,167821,792,"+",,"PLF_561_00001996","PGF_00028704",,263,,"Oxidoreductase UcpA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.150",,,"PATRIC.562.123410.562.123410.con.0001.CDS.167979.168995.fwd","PATRIC","CDS",167979,168995,1017,"+",,"PLF_561_00002031","PGF_05442739",,338,,"Sulfate and thiosulfate binding protein CysP",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.151",,,"PATRIC.562.123410.562.123410.con.0001.CDS.168995.169828.fwd","PATRIC","CDS",168995,169828,834,"+",,"PLF_561_00002523","PGF_00054986",,277,,"Sulfate transport system permease protein CysT",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.152",,,"PATRIC.562.123410.562.123410.con.0001.CDS.169828.170703.fwd","PATRIC","CDS",169828,170703,876,"+",,"PLF_561_00002229","PGF_00054988",,291,,"Sulfate transport system permease protein CysW",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.153",,,"PATRIC.562.123410.562.123410.con.0001.CDS.170693.171790.fwd","PATRIC","CDS",170693,171790,1098,"+",,"PLF_561_00001385","PGF_05696702",,365,,"Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)","GO:0015419|sulfate transmembrane-transporting ATPase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.4",,,"PATRIC.562.123410.562.123410.con.0001.CDS.1707.2111.fwd","PATRIC","CDS",1707,2111,405,"+",,"PLF_561_00000055","PGF_01000105",,134,,"Mobile element protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.154",,,"PATRIC.562.123410.562.123410.con.0001.CDS.171925.172836.fwd","PATRIC","CDS",171925,172836,912,"+",,"PLF_561_00002074","PGF_02104569",,303,,"Cysteine synthase B (EC 2.5.1.47)","GO:0004124|cysteine synthase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.155",,,"PATRIC.562.123410.562.123410.con.0001.CDS.172839.173207.rev","PATRIC","CDS",172839,173207,369,"-",,"PLF_561_00002944","PGF_00065551",,122,,"Uncharacterized protein YfeK",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.156",,,"PATRIC.562.123410.562.123410.con.0001.CDS.173312.174163.fwd","PATRIC","CDS",173312,174163,852,"+",,"PLF_561_00002666","PGF_03846068",,283,,"Pyridoxal kinase (EC 2.7.1.35)","GO:0008478|pyridoxal kinase activity"
