Family ID,Proteins,Genomes,Description,Min AA Length,Max AA Length,Mean,Std Dev
PGF_02623406,51,50,"FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)",282,423,321.7450980392157,33.0767634434258
PGF_07411046,29,28,"Uncharacterized RNA methyltransferase YsgA",100,284,253.3448275862069,35.53946408893772
PGF_00018082,9,9,"Lysyl aminopeptidase (EC 3.4.11.15)",841,847,843.8888888888889,1.4487116456005886
PGF_02032344,1,1,"hypothetical protein",51,51,51,0
PGF_02025100,1,1,"hypothetical protein",48,48,48,0
PGF_04939066,1,1,"hypothetical protein",64,64,64,0
PGF_02049655,11,1,"hypothetical protein",30,66,59.09090909090909,12.551381998913293
PGF_00422758,7,4,"Degenerate transposase",54,116,104.42857142857143,21.002429402722115
PGF_03751154,3,3,"CRISPR-associated endoribonuclease Cas6",218,248,231.33333333333334,12.472191289246473
PGF_00416086,3,3,"CRISPR-associated protein, Csm1 family",758,769,763.6666666666666,4.496912521077347
PGF_07261929,3,3,"CRISPR-associated protein, Csm2 family",130,160,145,12.24744871391589
PGF_00415915,5,5,"CRISPR-associated RAMP Csm3",212,228,220.6,5.122499389946279
PGF_00415919,3,3,"CRISPR-associated RAMP protein, Csm4 family",304,306,305,0.816496580927726
PGF_00378607,3,3,"CRISPR-associated protein, Csm5 family",326,373,348.6666666666667,19.223827807061618
PGF_00415969,2,2,"CRISPR-associated protein Cas2",101,101,101,0
PGF_02015869,1,1,"hypothetical protein",90,90,90,0
PGF_02032342,1,1,"hypothetical protein",66,66,66,0
PGF_02032341,1,1,"hypothetical protein",47,47,47,0
PGF_02032340,1,1,"hypothetical protein",69,69,69,0
PGF_03087500,64,23,"Uncharacterized UPF0750 membrane protein",192,307,284.671875,17.309728738035584
PGF_02015801,1,1,"Cyclic nucleotide-binding:Bacterial regulatory protein, Crp",207,207,207,0
PGF_06335969,162,42,"Transcriptional regulator, Xre family",38,380,168.39506172839506,101.03680774264075
PGF_02020908,1,1,"hypothetical protein",133,133,133,0
PGF_07849456,42,9,"Methyl-accepting chemotaxis protein",87,721,521.4285714285714,167.9479997268348
PGF_08913741,386,43,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",41,553,433.1373056994819,73.2360036814393
PGF_00059621,3,3,"Transcriptional regulator, MarR family",144,144,144,0
PGF_01176589,50,47,"4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)",175,404,256,25.681121470839237
PGF_08398205,50,50,"CCA tRNA nucleotidyltransferase (EC 2.7.7.72)",396,501,444.16,30.153182253287962
PGF_03029859,35,34,"Bis-ABC ATPase Uup",29,650,587.1142857142858,126.59514128084999
PGF_00056897,45,44,"Thymidylate synthase (EC 2.1.1.45)",174,344,284.77777777777777,26.0860872998862
PGF_09348764,51,47,"Dihydrofolate reductase (EC 1.5.1.3)",155,227,171.64705882352942,19.397618136995497
PGF_02014158,1,1,"hypothetical protein",208,208,208,0
PGF_01055675,20,1,"Transposase",43,412,80.85,77.38170003301813
PGF_07987589,173,37,"Transcriptional regulator, LysR family",49,374,287.29479768786126,44.51822808575702
PGF_06196148,19,10,"D-serine/D-alanine/glycine transporter",102,470,418.63157894736844,107.56746256545277
PGF_02049549,2,2,"hypothetical protein",69,70,69.5,0.5
PGF_00926109,51,50,"Arginyl-tRNA synthetase (EC 6.1.1.19)",178,640,576.3333333333334,64.02103412518042
PGF_02147779,106,29,"Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)",46,764,497.2169811320755,166.11123828695654
PGF_02032349,1,1,"hypothetical protein",56,56,56,0
PGF_02013852,1,1,"hypothetical protein",45,45,45,0
PGF_02156631,50,45,"Arginine pathway regulatory protein ArgR, repressor of arg regulon",145,181,155.62,8.189969474912589
PGF_05982667,71,44,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)",202,1040,748.1549295774648,191.69111361531486
PGF_06721049,1,1,"hypothetical protein",113,113,113,0
PGF_00416436,16,16,"3'->5' exoribonuclease Bsu YhaM",296,354,319.625,11.45030021440486
PGF_00067188,50,50,"Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)",281,400,353.62,17.260231748154485
PGF_00884706,208,39,"Efflux ABC transporter, ATP-binding protein",31,484,277.9423076923077,45.93407209566708
PGF_01066598,5,3,"Sugar kinase and transcription regulator (EC 2.7.1.-)",287,315,304.6,9.728309205612247
PGF_10495338,9,7,"ABC transporter, permease protein",390,423,411.22222222222223,11.183100124521005
PGF_02870372,8,7,"Galactose operon repressor, GalR-LacI family of transcriptional regulators",331,337,333.875,2.521780125229002
PGF_02013808,1,1,"hypothetical protein",60,60,60,0
PGF_00664085,2,1,"hypothetical protein",42,58,50,8
PGF_00033179,3,3,"Phosphatase YidA",271,275,272.6666666666667,1.699673171197595
PGF_00033936,49,48,"Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)",74,322,258.8775510204082,42.673240027102025
PGF_02013807,1,1,"hypothetical protein",163,163,163,0
PGF_03966350,2,1,"hypothetical protein",39,40,39.5,0.5
PGF_00826128,9,9,"Foldase protein PrsA precursor (EC 5.2.1.8) @ Foldase clustered with pyrimidine conversion",296,318,302.1111111111111,6.471208790471572
PGF_02013806,1,1,"hypothetical protein",106,106,106,0
PGF_00011953,9,9,"Histidine triad (HIT) nucleotide-binding protein, similarity with At5g48545 and yeast YDL125C (HNT1)",141,150,143.66666666666666,2.5385910352879693
PGF_05377575,9,9,"ABC transporter, ATP-binding protein EcsA",241,253,245.44444444444446,3.4354721852756236
PGF_02013752,1,1,"EffluX ABC transporter, permease protein",407,407,407,0
PGF_00406573,5,5,"Putative phosphotransferase YtmP",257,267,260.8,3.709447398198281
PGF_06530721,48,48,"tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)",157,318,232.625,29.75428890653133
PGF_02014160,1,1,"hypothetical protein",105,105,105,0
PGF_07957805,8,8,"Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)",80,86,83.375,1.9324531042175384
PGF_00001219,9,9,"FIG009688: Thioredoxin",105,106,105.55555555555556,0.4969039949999533
PGF_03802330,9,9,"Phenylalanyl-tRNA synthetase domain protein (Bsu YtpR)",210,216,213.77777777777777,1.8121673811444545
PGF_08155727,53,47,"DNA translocase FtsK",226,1526,858.8301886792453,161.00705900955955
PGF_00033959,9,9,"Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)",223,235,226.88888888888889,3.3811386788228748
PGF_00063999,50,49,"UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)",187,529,454.26,53.442608469272905
PGF_02013805,1,1,"hypothetical protein",94,94,94,0
PGF_00019397,2,2,"MaoC-like dehydratase",146,163,154.5,8.5
PGF_04104750,7,6,"Integral membrane protein, interacts with FtsH",235,238,236.28571428571428,1.0301575072754257
PGF_08211471,1,1,"hypothetical protein",38,38,38,0
PGF_02016424,1,1,"hypothetical protein",59,59,59,0
PGF_05645139,1,1,"hypothetical protein",56,56,56,0
PGF_10347756,53,50,"DNA polymerase I (EC 2.7.7.7)",358,971,867,141.26357006112755
PGF_00033961,10,9,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)",122,800,672.3,188.11382192704502
PGF_05740384,12,12,"Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)",269,282,276.0833333333333,3.5697416651006493
PGF_01135236,46,46,"Dephospho-CoA kinase (EC 2.7.1.24)",123,221,199.2173913043478,12.934472045961154
PGF_00048643,40,40,"Ribonucleotide reductase transcriptional regulator NrdR",102,193,150.75,15.175226522197288
PGF_02032634,1,1,"hypothetical protein",455,455,455,0
PGF_00957277,43,25,"Helicase loader DnaI",99,332,277.1860465116279,50.36483445308054
PGF_01175575,50,49,"Threonyl-tRNA synthetase (EC 6.1.1.3)",518,692,640.12,31.411233659313666
PGF_00060478,49,49,"Translation initiation factor 3",113,268,179.91836734693877,29.437472117717288
PGF_03818138,47,47,"LSU ribosomal protein L35p",63,69,65.19148936170212,1.1418219459573398
PGF_00016358,49,49,"LSU ribosomal protein L20p",99,127,118.34693877551021,4.653508750408568
PGF_00012652,27,27,"FIG001553: Hydrolase, HAD subfamily IIIA",165,187,172.92592592592592,5.353613704612683
PGF_02619921,10,10,"GTP-binding protein YqeH, required for biogenesis of 30S ribosome subunit",366,378,371.8,3.340658617698013
PGF_04287303,37,37,"RNA-binding protein YhbY",96,110,99.54054054054055,3.397889604132244
PGF_08432396,50,50,"Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)",112,338,209.7,29.24260590303128
PGF_03117711,31,31,"Hydrolase (HAD superfamily), YqeK",174,215,196.4516129032258,7.3037273280438235
PGF_00435430,49,49,"Ribosomal silencing factor RsfA",105,145,119.83673469387755,7.7810521789309
PGF_00002970,25,25,"FIG145533: Methyltransferase (EC 2.1.1.-)",222,292,253.24,12.45882819529991
PGF_00000196,33,32,"UPF0348 protein family",146,446,394.7878787878788,51.935716428629384
PGF_02031353,46,46,"FIG01269488: protein, clustered with ribosomal protein L32p",164,210,183.30434782608697,11.890569089422144
PGF_00016404,44,44,"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent",53,64,60.20454545454545,2.231790409010682
PGF_02016250,1,1,"hypothetical protein",46,46,46,0
PGF_00007026,43,42,"GTP-binding protein EngB",187,260,202.51162790697674,12.282284639047006
PGF_00000297,3,3,"FIG00743467: hypothetical protein",98,99,98.66666666666667,0.4714045207910317
PGF_08152626,1,1,"hypothetical protein",47,47,47,0
PGF_10106935,124,41,"ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)",66,404,247.78225806451613,26.852512492487723
PGF_00424971,52,50,"Excinuclease ABC subunit C",192,805,606.9230769230769,117.37838979357548
PGF_02017491,1,1,"hypothetical protein",107,107,107,0
PGF_02029783,50,50,"GTP-binding protein Obg",356,570,436.68,55.650495056198736
PGF_12852717,11,7,"Acyltransferase",239,664,481.3636363636364,183.2495926957015
PGF_00050995,71,49,"Amidophosphoribosyltransferase (EC 2.4.2.14)",214,639,496.7042253521127,63.46372910351128
PGF_02012624,1,1,"hypothetical protein",90,90,90,0
PGF_07097873,37,36,"Ribonuclease Z (EC 3.1.26.11)",88,320,297.05405405405406,38.04048053377246
PGF_10532194,134,40,"Oxidoreductase, short-chain dehydrogenase/reductase family",56,299,247.67164179104478,33.68616707980299
PGF_02014159,1,1,"hypothetical protein",95,95,95,0
PGF_07058357,45,43,"Single-stranded-DNA-specific exonuclease RecJ",162,852,614.5555555555555,115.18999870852127
PGF_00034972,41,41,"Adenine phosphoribosyltransferase (EC 2.4.2.7)",72,193,174.5121951219512,17.616679944149816
PGF_02297251,50,42,"KtrAB potassium uptake system, peripheral membrane component KtrA",116,234,217.5,15.44182631685773
PGF_01305075,9,9,"Inner membrane protein translocase and chaperone YidC, OxaA protein",300,332,315.55555555555554,11.295142624756016
PGF_10367439,30,29,"Acylphosphate phosphohydrolase (EC 3.6.1.7)",89,140,96.96666666666667,11.909333407971339
PGF_00012930,9,9,"Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)",387,397,388.6666666666667,3.0550504633038935
PGF_02013804,1,1,"hypothetical protein",237,237,237,0
PGF_00293903,4,4,"ATP-binding cassette domain protein",293,297,294.5,1.6583123951777
PGF_00080619,1,1,"hypothetical protein",338,338,338,0
PGF_02013803,1,1,"Dimeric dUTPase (EC 3.6.1.23)",155,155,155,0
PGF_00060414,50,48,"Translation elongation factor LepA",167,626,594.28,65.70206693856747
PGF_00033954,48,48,"Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)",333,389,349.25,17.200411816775397
PGF_00413189,29,29,"tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217)",219,261,235.86206896551724,8.169430562737018
PGF_09020471,43,41,"GTP cyclohydrolase 1 type 2 homolog YbgI",233,371,286.83720930232556,40.19830508549944
PGF_07416013,41,35,"Tripeptide aminopeptidase (EC 3.4.11.4)",405,428,411.1951219512195,5.881842718537763
PGF_05211288,1,1,"hypothetical protein",1171,1171,1171,0
PGF_04367771,1,1,"hypothetical protein",52,52,52,0
PGF_04641027,1,1,"hypothetical protein",41,41,41,0
PGF_00945133,1,1,"hypothetical protein",53,53,53,0
PGF_00529632,47,45,"Chaperone protein ClpB (ATP-dependent unfoldase)",606,905,852.8297872340426,55.261590350258984
PGF_00033968,41,41,"Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)",186,212,201.29268292682926,7.871665464953876
PGF_02020738,4,1,"Integrase, catalytic region",92,114,99.25,8.642193008721803
PGF_01323228,38,33,"Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)",188,239,211.18421052631578,9.121562836885882
PGF_02979333,26,1,"hypothetical protein",31,241,72.15384615384616,53.51900619096583
PGF_02013723,1,1,"Galactose mutarotase-like",292,292,292,0
PGF_00019038,10,10,"ATP-dependent hsl protease ATP-binding subunit HslU",443,472,464.5,8.090117428072352
PGF_00019428,10,10,"ATP-dependent protease subunit HslV (EC 3.4.25.2)",164,180,174.9,4.27668095606862
PGF_04835795,35,35,"Site-specific tyrosine recombinase XerC",280,395,316.6857142857143,28.61045905515916
PGF_00025489,8,8,"Niacin transporter NiaP",395,469,424.875,29.79277387219928
PGF_04828114,36,35,"Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)",251,711,296.44444444444446,70.50628200713135
PGF_02895613,14,14,"Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74)",432,458,439,5.732115042211108
PGF_00701237,1,1,"Transcriptional regulator of pyridoxine metabolism / Pyridoxamine phosphate aminotransferase (EC 2.6.1.54)",476,476,476,0
PGF_10300474,50,49,"DNA topoisomerase I (EC 5.99.1.2)",255,1028,745.8,136.24610086163935
PGF_09432500,51,47,"Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake",201,539,347.37254901960785,62.661856548074915
PGF_00048556,49,49,"Ribonuclease HII (EC 3.1.26.4)",198,325,236.12244897959184,28.832827558581677
PGF_00426877,32,32,"LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF)",276,306,284.375,5.18260311040697
PGF_05785543,114,50,"Signal peptidase I (EC 3.4.21.89)",96,499,237.9298245614035,89.70494708514225
PGF_00668908,3,3,"Periplasmic protease",481,492,485,4.96655480858378
PGF_02008894,9,9,"UPF0346 protein YozE",73,80,76.11111111111111,2.282515398241571
PGF_00067316,5,5,"YfaA",197,213,205.6,6.374950980203691
PGF_01291744,6,6,"FIG006988: Lipase/Acylhydrolase with GDSL-like motif",281,326,301,15.88500340992514
PGF_01867628,39,39,"Heat-inducible transcription repressor HrcA",340,418,353.7692307692308,13.278981924332362
PGF_03751823,50,50,"Heat shock protein GrpE",183,236,207.9,13.661991070118585
PGF_10357457,56,50,"Chaperone protein DnaK",203,844,615.0892857142857,72.03428667400443
PGF_02019731,1,1,"hypothetical protein",204,204,204,0
PGF_10301134,99,49,"Chaperone protein DnaJ",50,415,316.0808080808081,91.88812661866831
PGF_00056390,5,2,"Tetratricopeptide repeat family protein",337,808,504.6,180.43791175914225
PGF_02011685,1,1,"Integrase/recombinase xerD",290,290,290,0
PGF_03503126,10,10,"Hypothetical protein VC0266 (sugar utilization related?)",163,198,191.5,9.718538984847465
PGF_02012552,1,1,"hypothetical protein",262,262,262,0
PGF_00423498,34,15,"Dipeptidase",60,541,450.05882352941177,108.39088880107269
PGF_02923127,50,50,"Uridylate kinase (EC 2.7.4.22)",220,252,237,6.04648658313239
PGF_10471987,7,7,"2-hydroxymuconate tautomerase-like protein",59,74,63.142857142857146,4.733726150223112
PGF_10373476,58,48,"Diaminopimelate decarboxylase (EC 4.1.1.20)",92,540,404.2931034482759,83.0083104731688
PGF_02899915,79,36,"Hydrolase, HAD superfamily",103,303,267.0886075949367,24.066463810449786
PGF_00063471,27,15,"Type III restriction-modification system methylation subunit (EC 2.1.1.72)",92,960,539.7777777777778,186.25715662777023
PGF_00063469,3,3,"Type III restriction-modification system StyLTI enzyme res (EC 3.1.21.5)",991,998,993.3333333333334,3.2998316455372216
PGF_00048926,50,50,"Ribosome recycling factor",164,259,185.52,11.565880857072669
PGF_08225224,13348,50,"hypothetical protein",24,5407,374.6693137548696,332.63738887952735
PGF_02012542,1,1,"Superfamily II DNA/RNA helicases, SNF2 family",627,627,627,0
PGF_03846985,18,2,"Transposase",41,169,81,35.03648891592243
PGF_02015796,1,1,"ATPase associated with chromosome architecture/replication",96,96,96,0
PGF_02015867,1,1,"hypothetical protein",41,41,41,0
PGF_03114396,1,1,"hypothetical protein",142,142,142,0
PGF_00072539,1,1,"hypothetical protein",208,208,208,0
PGF_02042797,1,1,"hypothetical protein",59,59,59,0
PGF_02025094,1,1,"hypothetical protein",55,55,55,0
PGF_05722595,1,1,"hypothetical protein",43,43,43,0
PGF_02016247,1,1,"hypothetical protein",80,80,80,0
PGF_02046646,1,1,"hypothetical protein",42,42,42,0
PGF_02280759,46,43,"Undecaprenyl diphosphate synthase (EC 2.5.1.31)",76,263,234.65217391304347,33.64211736040841
PGF_00913934,8,8,"Protein of unknown function DUF419",50,222,118.25,48.43745967740257
PGF_02015868,1,1,"hypothetical protein",356,356,356,0
PGF_06574151,52,31,"Hydrolase, alpha/beta fold family",64,787,301.4807692307692,82.02379823155815
PGF_06661068,33,26,"PaaD-like protein (DUF59) involved in Fe-S cluster assembly",77,197,133.93939393939394,41.26333715990606
PGF_02016413,1,1,"hypothetical protein",322,322,322,0
PGF_07117522,40,36,"tRNA/rRNA cytosine-C5-methyltransferase",310,531,463.55,30.579363956760123
PGF_00015737,9,9,"Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)",339,361,345.55555555555554,6.166416411338492
PGF_02450432,53,50,"Phosphatidate cytidylyltransferase (EC 2.7.7.41)",249,328,279.35849056603774,21.54862368290071
PGF_02154390,9,9,"Phosphomevalonate kinase (EC 2.7.4.2)",355,371,360.55555555555554,5.293835222031821
PGF_00423613,9,9,"Diphosphomevalonate decarboxylase (EC 4.1.1.33)",319,334,324.77777777777777,5.769224438109853
PGF_04815798,9,9,"Mevalonate kinase (EC 2.7.1.36)",302,319,309.77777777777777,5.1806858786110075
PGF_00423472,19,16,"DinG family ATP-dependent helicase YoaA",345,968,781.7894736842105,169.17340183727666
PGF_01466819,110,42,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)",57,990,297.25454545454545,126.45548525890887
PGF_01756549,3,3,"Uncharacterized protein YpmB",160,172,165.33333333333334,4.988876515698588
PGF_04544396,93,45,"Aspartate aminotransferase (EC 2.6.1.1)",67,450,386.86021505376345,49.27268679978677
PGF_05148076,16,16,"Membrane-associated zinc metalloprotease",338,427,371.875,35.10853706721486
PGF_00066502,43,40,"Asparaginyl-tRNA synthetase (EC 6.1.1.22)",414,483,456.04651162790697,16.239420152857296
PGF_00417995,9,9,"Chromosome replication initiation protein DnaD",201,248,223.22222222222223,17.08656247710319
PGF_08394843,59,49,"Endonuclease III (EC 4.2.99.18)",207,264,217.27118644067798,11.806103719391782
PGF_02040916,9,9,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) / Penicillin-binding protein 1A/1B (PBP1)",754,791,771.4444444444445,9.334655990936987
PGF_01124268,27,27,"RecU Holliday junction resolvase",166,213,188.07407407407408,15.197285152109012
PGF_00426730,9,9,"UPF0398 protein YpsA",183,198,189.55555555555554,4.003085229922627
PGF_00417093,7,7,"Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1",113,132,119.28571428571429,7.977007776179267
PGF_00415407,42,40,"23S rRNA (guanine(2445)-N(2))-methyltransferase (EC 2.1.1.173)",72,522,387.04761904761904,83.16963513576803
PGF_00046768,2,2,"RNase H",124,128,126,2
PGF_02014157,1,1,"hypothetical protein",130,130,130,0
PGF_00006245,55,48,"Formate--tetrahydrofolate ligase (EC 6.3.4.3)",48,560,520.1818181818181,104.95299223229607
PGF_10049472,56,49,"Lipoprotein signal peptidase (EC 3.4.23.36)",63,257,168.92857142857142,35.3315202974711
PGF_10569727,60,50,"LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)",50,387,303.85,54.77341964858502
PGF_00066124,15,12,"Pyrimidine operon regulatory protein PyrR",168,188,178.73333333333332,4.739432689913659
PGF_00037588,22,22,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type",564,614,581.2272727272727,17.034541961400393
PGF_00066906,51,50,"Aspartate carbamoyltransferase (EC 2.1.3.2)",296,364,314.6078431372549,12.618191709377767
PGF_00423378,53,49,"Dihydroorotase (EC 3.5.2.3)",395,504,438.1509433962264,23.161774157626
PGF_07015581,60,50,"Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)",117,411,359.0833333333333,39.589683701130475
PGF_00416410,70,50,"Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)",853,1355,1075.6571428571428,47.74751622987785
PGF_03029062,49,48,"Dihydroorotate dehydrogenase (NAD(+)), catalytic subunit (EC 1.3.1.14)",286,327,304.51020408163265,8.206822569852754
PGF_00777371,15,15,"Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)",232,245,237,3.9496835316262997
PGF_10381714,51,50,"Orotate phosphoribosyltransferase (EC 2.4.2.10)",194,254,219.72549019607843,10.88456080764833
PGF_02019733,1,1,"hypothetical protein",37,37,37,0
PGF_00417153,37,14,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2",235,427,354.2432432432432,39.04426137396032
PGF_00821776,5,5,"Transcriptional regulator, LysR family",317,323,319.2,2.039607805437114
PGF_00019248,31,30,"Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)",306,563,480.51612903225805,109.49174986382039
PGF_00010778,7,6,"Transcriptional repressor GlcR, DeoR family",250,258,252.28571428571428,2.710523708715754
PGF_02152479,2,2,"Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)",386,387,386.5,0.5
PGF_02013801,1,1,"hypothetical protein",293,293,293,0
PGF_10428730,4,4,"hypothetical protein",207,810,359.5,260.10046136060583
PGF_00008106,45,44,"Glutamate racemase (EC 5.1.1.3)",256,290,268.9111111111111,8.150861501085425
PGF_02012508,1,1,"Acetyltransferase, GNAT family",173,173,173,0
PGF_00425969,10,9,"Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5)",99,237,208.7,42.03105994380822
PGF_10519603,155,47,"Acetyltransferase, GNAT family",52,355,170.75483870967741,50.494502023996674
PGF_06525277,1,1,"hypothetical protein",37,37,37,0
PGF_03318195,3,2,"Cof-like hydrolase",265,292,280.6666666666667,11.440668201153676
PGF_02014148,1,1,"putative secreted protein",156,156,156,0
PGF_10680138,1,1,"hypothetical protein",63,63,63,0
PGF_02011716,2,2,"hypothetical protein",266,285,275.5,9.5
PGF_00036961,14,6,"Aggregation promoting factor",120,352,239.78571428571428,71.8820249450729
PGF_02166459,19,14,"MutT/Nudix family protein",146,251,165.26315789473685,22.63867697748388
PGF_02013989,1,1,"hypothetical protein",97,97,97,0
PGF_03136468,2,2,"hypothetical protein",42,136,89,47
PGF_00067080,1,1,"Xylose isomerase domain protein TIM barrel",281,281,281,0
PGF_00045787,20,20,"Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)",181,230,199.9,12.887590930814028
PGF_00845945,112,31,"DegV family protein",124,504,288.17857142857144,35.095078583988474
PGF_00004717,2,2,"Fibronectin-binding protein",562,565,563.5,1.5
PGF_00057270,48,48,"DNA topoisomerase IV subunit A (EC 5.99.1.3)",657,953,809.8333333333334,69.47101713824422
PGF_00045788,21,21,"Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)",280,296,290.9047619047619,2.741302469452239
PGF_06005188,49,48,"DNA topoisomerase IV subunit B (EC 5.99.1.3)",117,783,647.3061224489796,93.75830936381328
PGF_04505269,50,50,"SSU ribosomal protein S2p (SAe)",231,301,261.1,16.567739737212197
PGF_06713057,34,24,"D-lactate dehydrogenase (EC 1.1.1.28)",182,348,327.61764705882354,25.644647080344715
PGF_06916656,215,47,"Transcriptional regulator, GntR family",39,377,180.71627906976744,59.586235847163124
PGF_07072582,66,50,"RNA polymerase sigma factor RpoD",46,688,371.2121212121212,94.28029055115151
PGF_00421679,53,49,"DNA primase DnaG",107,1095,607.8301886792453,142.6089435721226
PGF_00009969,11,11,"Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)",687,694,690,2.2962419891481978
PGF_00016385,50,50,"LSU ribosomal protein L27p",82,99,90.98,4.933518014561211
